"Table 11.3: trends in age group and presenting substances, new presentations to treatment",,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found at the bottom of the worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,
Percentages may equal 0% or not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
Link back to the index,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Substance,18-19 (number),18-19 (%),20-24 (number),20-24 (%),25-29 (number),25-29 (%),30-34 (number),30-34 (%),35-39 (number),35-39 (%),40-44 (number),40-44 (%),45-49 (number),45-49 (%),50-54 (number),50-54 (%),55-59 (number),55-59 (%),60-64 (number),60-64 (%),65+ (number),65+ (%),Total (number),Total (%)
,Crack cocaine (not opiate),235,4.5,915,5.4,"1,232",4.9,"1,020",4.1,942,3.9,747,3.7,416,3,171,2.1,54,1.1,25,0.9,8,0.5,"5,765",3.9
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,782",52.8,"5,999",35.6,"5,970",23.9,"4,945",19.8,"4,034",16.7,"2,866",14.2,"1,547",11.3,709,8.7,263,5.3,82,3,36,2.2,"29,233",19.8
,Cocaine,"1,396",26.5,"4,068",24.1,"4,308",17.2,"3,219",12.9,"2,327",9.6,"1,498",7.4,699,5.1,249,3.1,85,1.7,26,0.9,10,0.6,"17,885",12.1
,Amphetamine (other than ecstasy),344,6.5,"1,023",6.1,"1,282",5.1,"1,350",5.4,"1,168",4.8,841,4.2,388,2.8,173,2.1,71,1.4,21,0.8,8,0.5,"6,669",4.5
,Benzodiazepine,157,3,940,5.6,"1,892",7.6,"2,001",8,"1,668",6.9,"1,003",5,481,3.5,215,2.6,106,2.2,48,1.7,32,2,"8,543",5.8
,Other,55,1,192,1.1,252,1,291,1.2,223,0.9,159,0.8,123,0.9,80,1,36,0.7,21,0.8,13,0.8,"1,445",1
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"2,739",51.9,"6,934",41.1,"9,490",38,"10,853",43.5,"12,996",53.8,"13,130",64.9,"10,353",75.3,"6,843",84.3,"4,410",89.7,"2,563",93.1,"1,532",93.9,"81,843",55.5
,Total number of individuals [note 1],"5,273",100,"16,856",100,"24,978",100,"24,924",100,"24,150",100,"20,231",100,"13,746",100,"8,121",100,"4,916",100,"2,752",100,"1,631",100,"147,578",100
2009-10,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),588,11.5,"3,691",23.1,"7,296",31.3,"7,886",32.3,"6,425",27,"4,288",20.6,"2,226",15,906,10.4,429,8.1,124,4.2,70,3.7,"33,929",23.1
,Both opiate and crack cocaine,269,5.3,"2,312",14.5,"4,878",20.9,"5,170",21.2,"4,217",17.7,"2,782",13.3,"1,316",8.9,434,5,127,2.4,49,1.7,10,0.5,"21,564",14.7
,Crack cocaine (not opiate),124,2.4,614,3.8,784,3.4,744,3,737,3.1,633,3,353,2.4,167,1.9,63,1.2,15,0.5,7,0.4,"4,241",2.9
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,963",58.1,"6,024",37.7,"5,975",25.7,"4,958",20.3,"4,016",16.9,"3,173",15.2,"1,751",11.8,742,8.6,323,6.1,88,3,27,1.4,"30,040",20.4
,Cocaine,"1,054",20.7,"3,366",21.1,"3,591",15.4,"2,749",11.3,"2,045",8.6,"1,371",6.6,692,4.7,226,2.6,98,1.9,29,1,8,0.4,"15,229",10.4
,Amphetamine (other than ecstasy),315,6.2,973,6.1,"1,118",4.8,"1,253",5.1,"1,178",5,827,4,452,3,163,1.9,65,1.2,22,0.7,11,0.6,"6,377",4.3
,Benzodiazepine,154,3,843,5.3,"1,626",7,"1,838",7.5,"1,523",6.4,"1,005",4.8,472,3.2,213,2.5,117,2.2,44,1.5,37,1.9,"7,872",5.4
,Other,152,3,301,1.9,307,1.3,247,1,199,0.8,158,0.8,107,0.7,55,0.6,23,0.4,14,0.5,13,0.7,"1,576",1.1
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"2,608",51.2,"6,966",43.6,"9,866",42.4,"11,237",46,"13,580",57.1,"14,081",67.6,"11,420",76.9,"7,342",84.7,"4,732",89.5,"2,750",93.6,"1,803",94.6,"86,385",58.7
,Total number of individuals [note 1],"5,098",100,"15,982",100,"23,290",100,"24,413",100,"23,770",100,"20,845",100,"14,844",100,"8,671",100,"5,289",100,"2,939",100,"1,905",100,"147,046",100
2010-11,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),430,9.2,"2,917",19.7,"5,796",27.6,"7,095",30,"5,950",25.8,"4,009",19.6,"2,175",14.3,914,9.9,382,6.8,155,4.8,66,3,"29,889",20.9
,Both opiate and crack cocaine,239,5.1,"2,055",13.8,"4,333",20.7,"5,183",21.9,"4,266",18.5,"2,716",13.3,"1,380",9.1,424,4.6,145,2.6,35,1.1,10,0.5,"20,786",14.5
,Crack cocaine (not opiate),101,2.2,536,3.6,776,3.7,767,3.2,657,2.9,611,3,392,2.6,184,2,54,1,26,0.8,13,0.6,"4,117",2.9
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,878",61.9,"5,794",39,"5,574",26.6,"4,925",20.8,"3,958",17.2,"3,071",15,"1,783",11.8,817,8.9,314,5.6,109,3.4,30,1.4,"29,253",20.5
,Cocaine,886,19,"3,120",21,"3,295",15.7,"2,696",11.4,"1,957",8.5,"1,286",6.3,629,4.1,246,2.7,84,1.5,28,0.9,7,0.3,"14,234",10
,Amphetamine (other than ecstasy),542,11.7,"1,199",8.1,"1,231",5.9,"1,279",5.4,"1,139",4.9,823,4,407,2.7,158,1.7,83,1.5,12,0.4,6,0.3,"6,879",4.8
,Benzodiazepine,132,2.8,782,5.3,"1,395",6.7,"1,693",7.2,"1,405",6.1,904,4.4,495,3.3,211,2.3,86,1.5,50,1.6,30,1.4,"7,183",5
,Other,110,2.4,257,1.7,286,1.4,229,1,199,0.9,151,0.7,86,0.6,59,0.6,36,0.6,13,0.4,7,0.3,"1,433",1
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"2,378",51.1,"6,760",45.5,"9,338",44.5,"11,269",47.7,"13,365",58,"14,094",68.9,"11,796",77.8,"7,896",85.8,"5,045",90.4,"3,000",93.4,"2,111",96,"87,052",60.9
,Total number of individuals [note 1],"4,652",100,"14,843",100,"20,967",100,"23,635",100,"23,051",100,"20,449",100,"15,164",100,"9,201",100,"5,583",100,"3,212",100,"2,198",100,"142,955",100
2011-12,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),296,7.4,"2,337",16.9,"5,044",25.8,"6,495",28.4,"5,414",24.9,"3,912",19.4,"2,146",13.9,874,8.7,423,7.4,170,5.2,49,2.1,"27,160",19.5
,Both opiate and crack cocaine,147,3.7,"1,595",11.5,"3,622",18.5,"4,650",20.4,"3,781",17.4,"2,532",12.6,"1,350",8.7,466,4.6,130,2.3,46,1.4,12,0.5,"18,331",13.2
,Crack cocaine (not opiate),77,1.9,401,2.9,613,3.1,758,3.3,624,2.9,526,2.6,407,2.6,176,1.7,64,1.1,19,0.6,8,0.3,"3,673",2.6
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,651",66.1,"5,969",43.2,"5,573",28.5,"5,100",22.3,"3,940",18.1,"3,116",15.5,"1,954",12.6,848,8.4,391,6.9,117,3.5,30,1.3,"29,689",21.3
,Cocaine,813,20.3,"3,034",21.9,"3,347",17.1,"2,658",11.6,"1,901",8.7,"1,294",6.4,669,4.3,272,2.7,98,1.7,20,0.6,9,0.4,"14,115",10.1
,Amphetamine (other than ecstasy),440,11,"1,162",8.4,"1,306",6.7,"1,219",5.3,"1,185",5.4,845,4.2,467,3,184,1.8,96,1.7,24,0.7,5,0.2,"6,933",5
,Benzodiazepine,121,3,684,4.9,"1,258",6.4,"1,624",7.1,"1,267",5.8,899,4.5,480,3.1,188,1.9,88,1.5,39,1.2,32,1.4,"6,680",4.8
,Other,83,2.1,258,1.9,302,1.5,258,1.1,219,1,159,0.8,118,0.8,70,0.7,27,0.5,15,0.5,19,0.8,"1,528",1.1
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"2,022",50.4,"6,547",47.3,"9,277",47.4,"11,498",50.3,"12,988",59.7,"14,030",69.7,"12,179",78.6,"8,757",86.9,"5,125",89.8,"3,087",93.5,"2,254",95.3,"87,764",63.1
,Total number of individuals [note 1],"4,013",100,"13,832",100,"19,582",100,"22,838",100,"21,747",100,"20,141",100,"15,493",100,"10,077",100,"5,708",100,"3,300",100,"2,366",100,"139,097",100
2012-13,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),205,5.6,"1,959",15.1,"4,467",23.9,"6,386",27.4,"5,315",24.6,"3,977",19.4,"2,307",14.1,988,9,419,6.7,151,4.5,63,2.3,"26,237",18.7
,Both opiate and crack cocaine,135,3.7,"1,338",10.3,"3,210",17.2,"4,575",19.6,"3,894",18.1,"2,740",13.4,"1,525",9.3,551,5,153,2.5,42,1.2,18,0.6,"18,181",12.9
,Crack cocaine (not opiate),53,1.5,356,2.7,541,2.9,652,2.8,524,2.4,484,2.4,356,2.2,186,1.7,64,1,17,0.5,8,0.3,"3,241",2.3
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,508",68.9,"5,891",45.4,"5,505",29.4,"5,141",22.1,"3,913",18.1,"3,215",15.7,"2,100",12.8,"1,034",9.4,399,6.4,131,3.9,32,1.2,"29,869",21.3
,Cocaine,717,19.7,"2,942",22.7,"3,431",18.4,"3,037",13,"1,893",8.8,"1,311",6.4,739,4.5,323,2.9,83,1.3,27,0.8,14,0.5,"14,517",10.3
,Amphetamine (other than ecstasy),527,14.5,"1,115",8.6,"1,280",6.8,"1,243",5.3,"1,056",4.9,836,4.1,480,2.9,210,1.9,75,1.2,15,0.4,8,0.3,"6,845",4.9
,Benzodiazepine,70,1.9,547,4.2,995,5.3,"1,404",6,"1,217",5.6,886,4.3,470,2.9,211,1.9,105,1.7,62,1.8,50,1.8,"6,017",4.3
,Other,106,2.9,288,2.2,308,1.6,304,1.3,232,1.1,169,0.8,97,0.6,67,0.6,28,0.5,13,0.4,23,0.8,"1,635",1.2
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,708",46.9,"5,852",45.1,"9,005",48.2,"11,744",50.4,"12,744",59.1,"14,186",69.2,"12,807",78.2,"9,528",86.5,"5,650",90.8,"3,148",93.5,"2,650",95.3,"89,022",63.4
,Total number of individuals [note 1],"3,642",100,"12,980",100,"18,696",100,"23,304",100,"21,566",100,"20,492",100,"16,385",100,"11,021",100,"6,220",100,"3,368",100,"2,780",100,"140,454",100
2013-14,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),217,6.2,"1,734",13.8,"3,842",20.4,"6,203",25.9,"5,512",24.9,"4,298",19.8,"2,570",14.4,"1,201",9.8,464,6.5,184,4.5,83,2.5,"26,308",17.8
,Both opiate and crack cocaine,110,3.1,"1,162",9.2,"3,053",16.2,"4,672",19.5,"3,960",17.9,"3,070",14.1,"1,737",9.7,659,5.4,193,2.7,54,1.3,9,0.3,"18,679",12.7
,Crack cocaine (not opiate),47,1.3,309,2.5,545,2.9,646,2.7,522,2.4,448,2.1,340,1.9,198,1.6,73,1,29,0.7,10,0.3,"3,167",2.1
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,393",68.2,"5,795",46.1,"5,610",29.7,"5,195",21.7,"4,055",18.3,"3,301",15.2,"2,286",12.8,"1,144",9.3,456,6.4,151,3.7,36,1.1,"30,422",20.6
,Cocaine,651,18.6,"2,890",23,"3,689",19.6,"3,292",13.7,"2,227",10.1,"1,409",6.5,783,4.4,380,3.1,114,1.6,25,0.6,10,0.3,"15,470",10.5
,Amphetamine (other than ecstasy),434,12.4,986,7.8,"1,220",6.5,"1,368",5.7,"1,076",4.9,825,3.8,513,2.9,238,1.9,83,1.2,28,0.7,6,0.2,"6,777",4.6
,Benzodiazepine,80,2.3,466,3.7,920,4.9,"1,378",5.7,"1,131",5.1,869,4,510,2.9,230,1.9,89,1.2,60,1.5,73,2.2,"5,806",3.9
,Other,102,2.9,294,2.3,356,1.9,416,1.7,283,1.3,219,1,151,0.8,59,0.5,22,0.3,26,0.6,16,0.5,"1,944",1.3
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,582",45.1,"5,702",45.3,"9,366",49.6,"12,075",50.4,"12,786",57.7,"14,836",68.2,"13,880",77.8,"10,479",85.6,"6,506",91,"3,788",92.9,"3,152",95.2,"94,152",63.9
,Total number of individuals [note 1],"3,507",100,"12,578",100,"18,867",100,"23,979",100,"22,152",100,"21,745",100,"17,850",100,"12,240",100,"7,153",100,"4,076",100,"3,311",100,"147,458",100
2014-15,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),181,5.7,"1,537",14,"3,677",20.6,"5,625",25.1,"5,427",25.2,"4,386",21.1,"2,793",16,"1,357",10.9,507,7,208,5.1,101,2.8,"25,799",18.2
,Both opiate and crack cocaine,94,3,917,8.3,"2,778",15.5,"4,495",20.1,"4,138",19.2,"3,072",14.8,"1,904",10.9,831,6.7,225,3.1,76,1.9,27,0.7,"18,557",13.1
,Crack cocaine (not opiate),50,1.6,242,2.2,512,2.9,572,2.6,520,2.4,397,1.9,288,1.7,177,1.4,95,1.3,21,0.5,11,0.3,"2,885",2
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,195",69,"5,174",47,"5,364",30,"4,812",21.5,"3,830",17.8,"3,075",14.8,"2,321",13.3,"1,218",9.8,499,6.9,143,3.5,41,1.1,"28,672",20.2
,Cocaine,659,20.7,"2,613",23.8,"3,814",21.3,"3,295",14.7,"2,181",10.1,"1,405",6.8,873,5,430,3.4,126,1.7,46,1.1,17,0.5,"15,459",10.9
,Amphetamine (other than ecstasy),341,10.7,930,8.5,"1,303",7.3,"1,335",6,"1,114",5.2,825,4,551,3.2,245,2,77,1.1,23,0.6,9,0.2,"6,753",4.8
,Benzodiazepine,83,2.6,452,4.1,840,4.7,"1,211",5.4,"1,153",5.4,865,4.2,504,2.9,261,2.1,84,1.2,57,1.4,94,2.6,"5,604",4
,Other,94,3,253,2.3,340,1.9,355,1.6,273,1.3,238,1.1,178,1,74,0.6,50,0.7,20,0.5,46,1.3,"1,921",1.4
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,361",42.8,"4,929",44.8,"8,629",48.3,"11,248",50.2,"11,951",55.5,"13,736",66.1,"13,033",74.7,"10,376",83.2,"6,489",89.6,"3,756",92.5,"3,396",93.1,"88,904",62.8
,Total number of individuals [note 1],"3,181",100,"10,997",100,"17,866",100,"22,417",100,"21,544",100,"20,769",100,"17,452",100,"12,470",100,"7,241",100,"4,060",100,"3,649",100,"141,646",100
2015-16,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),136,4.5,"1,267",12.4,"3,155",18.4,"4,922",22.9,"5,217",23.7,"4,174",21,"2,758",16.1,"1,435",11.5,571,7.7,241,6.1,104,3,"23,980",17.4
,Both opiate and crack cocaine,80,2.6,884,8.7,"2,735",16,"4,389",20.4,"4,642",21.1,"3,310",16.7,"2,025",11.8,"1,007",8.1,294,4,90,2.3,29,0.8,"19,485",14.1
,Crack cocaine (not opiate),46,1.5,235,2.3,488,2.9,571,2.7,547,2.5,450,2.3,309,1.8,204,1.6,89,1.2,29,0.7,12,0.3,"2,980",2.2
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"2,080",68.7,"5,015",49.1,"5,200",30.4,"4,689",21.8,"3,764",17.1,"2,975",15,"2,221",13,"1,246",10,550,7.4,170,4.3,55,1.6,"27,965",20.3
,Cocaine,618,20.4,"2,519",24.7,"3,845",22.5,"3,477",16.2,"2,473",11.2,"1,550",7.8,904,5.3,423,3.4,139,1.9,44,1.1,18,0.5,"16,010",11.6
,Amphetamine (other than ecstasy),264,8.7,719,7,"1,169",6.8,"1,216",5.7,"1,049",4.8,830,4.2,571,3.3,261,2.1,101,1.4,26,0.7,11,0.3,"6,217",4.5
,Benzodiazepine,83,2.7,412,4,763,4.5,"1,054",4.9,"1,113",5.1,833,4.2,536,3.1,266,2.1,136,1.8,65,1.6,167,4.9,"5,428",3.9
,Other,67,2.2,231,2.3,327,1.9,380,1.8,284,1.3,219,1.1,166,1,73,0.6,54,0.7,35,0.9,70,2,"1,906",1.4
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,327",43.9,"4,452",43.6,"8,246",48.2,"10,724",49.9,"11,885",54,"12,457",62.7,"12,525",73.3,"10,104",81,"6,522",88.3,"3,595",90.9,"3,094",90.1,"84,931",61.5
,Total number of individuals [note 1],"3,026",100,"10,205",100,"17,117",100,"21,509",100,"22,029",100,"19,852",100,"17,094",100,"12,474",100,"7,385",100,"3,955",100,"3,435",100,"138,081",100
2016-17,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),121,4.7,983,10.8,"2,464",15.6,"4,059",20.1,"4,885",22.6,"3,742",19.8,"2,591",15.6,"1,455",12,595,8.2,256,6.6,137,4.2,"21,288",16.2
,Both opiate and crack cocaine,90,3.5,859,9.4,"2,750",17.4,"4,690",23.2,"5,229",24.2,"3,876",20.5,"2,566",15.4,"1,266",10.5,370,5.1,122,3.2,36,1.1,"21,854",16.7
,Crack cocaine (not opiate),47,1.8,317,3.5,605,3.8,730,3.6,665,3.1,495,2.6,414,2.5,253,2.1,101,1.4,17,0.4,13,0.4,"3,657",2.8
,Other drug use,,,,,,,,,,,,,,,,,,,,,,,,
,Cannabis,"1,787",69.8,"4,535",49.9,"4,877",30.8,"4,552",22.5,"3,817",17.7,"2,819",14.9,"2,181",13.1,"1,304",10.8,516,7.1,173,4.5,54,1.7,"26,615",20.3
,Cocaine,644,25.2,"2,469",27.1,"3,865",24.4,"3,764",18.6,"2,768",12.8,"1,717",9.1,965,5.8,469,3.9,170,2.4,50,1.3,11,0.3,"16,892",12.9
,Amphetamine (other than ecstasy),87,3.4,409,4.5,660,4.2,862,4.3,841,3.9,668,3.5,508,3.1,260,2.1,94,1.3,25,0.6,11,0.3,"4,425",3.4
,Benzodiazepine,95,3.7,372,4.1,638,4,864,4.3,984,4.6,761,4,470,2.8,236,1.9,119,1.6,70,1.8,115,3.6,"4,724",3.6
,Other,38,1.5,140,1.5,250,1.6,270,1.3,254,1.2,186,1,174,1,75,0.6,58,0.8,36,0.9,62,1.9,"1,543",1.2
,Alcohol,,,,,,,,,,,,,,,,,,,,,,,,
,Alcohol,"1,122",43.8,"4,099",45.1,"7,719",48.8,"9,846",48.7,"11,037",51.2,"11,567",61.1,"11,644",70.1,"9,545",78.8,"6,233",86.3,"3,479",90.2,"2,911",90.3,"79,202",60.4
,Total number of individuals [note 1],"2,560",100,"9,097",100,"15,829",100,"20,200",100,"21,574",100,"18,923",100,"16,612",100,"12,112",100,"7,225",100,"3,859",100,"3,225",100,"131,216",100
2017-18,Opiate and/or crack cocaine use,,,,,,,,,,,,,,,,,,,,,,,,
,Opiate (not crack cocaine),96,4,791,9.6,"2,094",14.1,"3,390",17.1,"4,297",19.8,"3,311",18.3,"2,453",15.1,"1,396",11.7,585,8,214,5.8,140,4.5,"18,767",14.7
,Both opiate and crack cocaine,86,3.6,746,9,"2,439",16.5,"4,529",22.8,"5,665",26.2,"4,118",22.8,"2,816",17.4,"1,389",11.6,447,6.1,133,3.6,43,1.4,"22,411",17.6
,Crack cocaine (not opiate),63,2.6,354,4.3,759,5.1,872,4.4,798,3.7,585,3.2,418,2.6,272,2.3,146,2,28,0.8,6,0.2,"4,301",3.4
